Model,Epoch,Dataset,Is_Single_Class,Calibrated_Threshold,Optimized_Threshold,Threshold_Diff,Calibrated_F1,Optimized_F1,F1_Improvement,Calibrated_Brier,Optimized_Brier,Brier_Improvement
Wav2Vec2_AllAugments,1,H-2,Yes,0.21487400,0.14292790,-0.07194610,,,,0.5476914251125381,0.5476914251125381,0.0
Wav2Vec2_AllAugments,1,MerilainenCompiledSounds,No,0.21487400,0.23005846,+0.01518446,0.8444444444444444,0.8636363636363636,0.019191919191919204,0.42523987393831014,0.42523987393831014,0.0
Wav2Vec2_AllAugments,1,S&E,No,0.21487400,0.24171463,+0.02684063,0.3492063492063492,0.4081632653061224,0.058956916099773216,0.23700435931494088,0.23700435931494088,0.0
Wav2Vec2_AllAugments,1,UrbanSound,Yes,0.21487400,0.39619836,+0.18132436,,,,0.03775616420918171,0.03775616420918171,0.0
Wav2Vec2_AllAugments,1,Wonjun_Yi,Yes,0.21487400,0.07858462,-0.13628938,,,,0.8317614167890083,0.8317614167890083,0.0
Wav2Vec2_AllAugments,10,CalibrationDataset,No,0.00215925,0.03002066,+0.02786141,0.5528089887640449,0.006472491909385114,-0.5463364968546598,0.37750144870849417,0.37750144870849417,0.0
Wav2Vec2_AllAugments,10,DronePrint,Yes,0.00215925,0.00215925,+0.00000000,,,,0.9874096562278546,0.9874096562278546,0.0
Wav2Vec2_AllAugments,10,Emo,Yes,0.00215925,0.04204197,+0.03988271,,,,7.46939475202502e-05,7.46939475202502e-05,0.0
Wav2Vec2_AllAugments,10,ESC-50,Yes,0.00215925,0.04659219,+0.04443293,,,,3.608569074791384e-05,3.608569074791384e-05,0.0
Wav2Vec2_AllAugments,10,Fusion,No,0.00215925,0.26661366,+0.26445441,0.9394035041405788,2.4365878024414606e-05,-0.9393791382625544,0.8821368461678796,0.8821368461678796,0.0
Wav2Vec2_AllAugments,10,H-2,Yes,0.00215925,0.02085687,+0.01869762,,,,0.9888798536954015,0.9888798536954015,0.0
Wav2Vec2_AllAugments,10,MerilainenCompiledSounds,No,0.00215925,0.00215925,+0.00000000,0.8750000000000001,0.8750000000000001,0.0,0.7670592875627195,0.7670592875627195,0.0
Wav2Vec2_AllAugments,10,S&E,No,0.00215925,0.00215925,+0.00000000,0.5066666666666666,0.5066666666666666,0.0,0.33534032388908125,0.33534032388908125,0.0
Wav2Vec2_AllAugments,10,UrbanSound,Yes,0.00215925,0.91044986,+0.90829061,,,,0.00025008827356322766,0.00025008827356322766,0.0
Wav2Vec2_AllAugments,10,Wonjun_Yi,Yes,0.00215925,0.02654089,+0.02438164,,,,0.9942046870315427,0.9942046870315427,0.0
Wav2Vec2_AllAugments,15,CalibrationDataset,No,0.97999400,0.02284647,-0.95714753,0.0,0.012903225806451613,0.012903225806451613,0.37816788229363935,0.37816788229363935,0.0
Wav2Vec2_AllAugments,15,DronePrint,Yes,0.97999400,0.97999400,+0.00000000,,,,0.992799106518715,0.992799106518715,0.0
Wav2Vec2_AllAugments,15,Emo,Yes,0.97999400,0.02869865,-0.95129535,,,,3.342410309009646e-05,3.342410309009646e-05,0.0
Wav2Vec2_AllAugments,15,ESC-50,Yes,0.97999400,0.03329662,-0.94669739,,,,1.7358776596787547e-05,1.7358776596787547e-05,0.0
Wav2Vec2_AllAugments,15,Fusion,No,0.97999400,0.13977810,-0.84021590,0.0,0.00036541694072937225,0.00036541694072937225,0.8838700850541868,0.8838700850541868,0.0
Wav2Vec2_AllAugments,15,H-2,Yes,0.97999400,0.97999400,+0.00000000,,,,0.9931048803210692,0.9931048803210692,0.0
Wav2Vec2_AllAugments,15,MerilainenCompiledSounds,No,0.97999400,0.97999400,+0.00000000,0.0,0.0,0.0,0.7710004024646947,0.7710004024646947,0.0
Wav2Vec2_AllAugments,15,S&E,No,0.97999400,0.97999400,+0.00000000,0.0,0.0,0.0,0.3368820139655125,0.3368820139655125,0.0
Wav2Vec2_AllAugments,15,UrbanSound,Yes,0.97999400,0.97999400,+0.00000000,,,,0.00035994965370810217,0.00035994965370810217,0.0
Wav2Vec2_AllAugments,15,Wonjun_Yi,Yes,0.97999400,0.13081026,-0.84918374,,,,0.9960567394656497,0.9960567394656497,0.0
Wav2Vec2_AllAugments,20,CalibrationDataset,No,0.00103385,0.02268443,+0.02165058,0.5514771709937332,0.009693053311793215,-0.5417841176819399,0.37902690377888376,0.37902690377888376,0.0
Wav2Vec2_AllAugments,20,DronePrint,Yes,0.00103385,0.00103385,+0.00000000,,,,0.9945779899038674,0.9945779899038674,0.0
Wav2Vec2_AllAugments,20,Emo,Yes,0.00103385,0.02185470,+0.02082085,,,,2.049373722041336e-05,2.049373722041336e-05,0.0
Wav2Vec2_AllAugments,20,ESC-50,Yes,0.00103385,0.02830805,+0.02727420,,,,1.1204972331995462e-05,1.1204972331995462e-05,0.0
Wav2Vec2_AllAugments,20,Fusion,No,0.00103385,0.11647444,+0.11544059,0.9403817174420004,0.0003167101127975248,-0.9400650073292028,0.8845883579180455,0.8845883579180455,0.0
Wav2Vec2_AllAugments,20,H-2,Yes,0.00103385,0.00103385,+0.00000000,,,,0.9945050110248896,0.9945050110248896,0.0
Wav2Vec2_AllAugments,20,MerilainenCompiledSounds,No,0.00103385,0.00103385,+0.00000000,0.8750000000000001,0.8750000000000001,0.0,0.7723776487477437,0.7723776487477437,0.0
Wav2Vec2_AllAugments,20,S&E,No,0.00103385,0.00103385,+0.00000000,0.5066666666666666,0.5066666666666666,0.0,0.33739898275968677,0.33739898275968677,0.0
Wav2Vec2_AllAugments,20,UrbanSound,Yes,0.00103385,0.97945833,+0.97842448,,,,0.00025720935236492716,0.00025720935236492716,0.0
Wav2Vec2_AllAugments,20,Wonjun_Yi,Yes,0.00103385,0.03680178,+0.03576794,,,,0.996853665618212,0.996853665618212,0.0
Wav2Vec2_AllAugments,5,CalibrationDataset,No,0.00661154,0.06028882,+0.05367728,0.5544018058690745,0.0064516129032258064,-0.5479501929658487,0.372010578825923,0.372010578825923,0.0
Wav2Vec2_AllAugments,5,DronePrint,Yes,0.00661154,0.02044430,+0.01383276,,,,0.9471653803589617,0.9471653803589617,0.0
Wav2Vec2_AllAugments,5,Emo,Yes,0.00661154,0.10422652,+0.09761498,,,,0.000648632468180507,0.000648632468180507,0.0
Wav2Vec2_AllAugments,5,ESC-50,Yes,0.00661154,0.12202285,+0.11541131,,,,0.0002797567851819434,0.0002797567851819434,0.0
Wav2Vec2_AllAugments,5,Fusion,No,0.00661154,0.15795968,+0.15134814,0.8963367201618019,2.4365878024414606e-05,-0.8963123542837774,0.8734742666226359,0.8734742666226359,0.0
Wav2Vec2_AllAugments,5,H-2,Yes,0.00661154,0.02000103,+0.01338949,,,,0.9616305424913921,0.9616305424913921,0.0
Wav2Vec2_AllAugments,5,MerilainenCompiledSounds,No,0.00661154,0.02016359,+0.01355205,0.8750000000000001,0.6857142857142857,-0.1892857142857144,0.7418855688893444,0.7418855688893444,0.0
Wav2Vec2_AllAugments,5,S&E,No,0.00661154,0.02418931,+0.01757777,0.5066666666666666,0.3157894736842105,-0.1908771929824561,0.3261416605510422,0.3261416605510422,0.0
Wav2Vec2_AllAugments,5,UrbanSound,Yes,0.00661154,0.54949120,+0.54287966,,,,0.00047355441762699933,0.00047355441762699933,0.0
Wav2Vec2_AllAugments,5,Wonjun_Yi,Yes,0.00661154,0.02008649,+0.01347496,,,,0.9851046377884446,0.9851046377884446,0.0
Wav2Vec2_BandPassSurefire,1,CalibrationDataset,No,0.28066015,0.28076750,+0.00010735,0.8245210727969349,0.8245210727969349,0.0,0.22712163189059845,0.22712163189059845,0.0
Wav2Vec2_BandPassSurefire,1,DronePrint,Yes,0.28066015,0.29424325,+0.01358310,,,,0.4603349994161456,0.4603349994161456,0.0
Wav2Vec2_BandPassSurefire,1,Emo,Yes,0.28066015,0.31922513,+0.03856498,,,,0.06235655601226017,0.06235655601226017,0.0
Wav2Vec2_BandPassSurefire,1,ESC-50,Yes,0.28066015,0.39989147,+0.11923132,,,,0.04963157860031274,0.04963157860031274,0.0
Wav2Vec2_BandPassSurefire,1,Fusion,No,0.28066015,0.23980679,-0.04085336,0.5920024255491174,0.9672039025323418,0.37520147698322437,0.47018848138878516,0.47018848138878516,0.0
Wav2Vec2_BandPassSurefire,1,H-2,Yes,0.28066015,0.17709085,-0.10356930,,,,0.5568566858143351,0.5568566858143351,0.0
Wav2Vec2_BandPassSurefire,1,MerilainenCompiledSounds,No,0.28066015,0.24442865,-0.03623150,0.4666666666666666,0.8181818181818182,0.3515151515151516,0.4273107078821461,0.4273107078821461,0.0
Wav2Vec2_BandPassSurefire,1,S&E,No,0.28066015,0.24613443,-0.03452572,0.4375,0.6229508196721312,0.18545081967213117,0.22170181690546228,0.22170181690546228,0.0
Wav2Vec2_BandPassSurefire,1,UrbanSound,Yes,0.28066015,0.39223984,+0.11157969,,,,0.05830739901316073,0.05830739901316073,0.0
