Model,Epoch,Dataset,Is_Single_Class,Calibrated_Threshold,Optimized_Threshold,Threshold_Diff,Calibrated_F1,Optimized_F1,F1_Improvement,Calibrated_Brier,Optimized_Brier,Brier_Improvement
Resnet_34,1,Emo,Yes,0.99720400,0.99720400,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,1,ESC-50,Yes,0.99720400,0.96172004,-0.03548396,nan,nan,+nan,0.9993,0.9993,+0.0000
Resnet_34,1,Fusion,No,0.99720400,0.97618055,-0.02102345,0.0655,0.0654,-0.0000,0.9639,0.9639,+0.0000
Resnet_34,1,H-2,Yes,0.99720400,0.99720400,+0.00000000,nan,nan,+nan,0.0000,0.0000,+0.0000
Resnet_34,1,S&E,No,0.99720400,0.97618055,-0.02102345,0.4865,0.5067,+0.0202,0.6607,0.6607,+0.0000
Resnet_34,1,Authors,No,0.99720400,0.99720400,+0.00000000,0.9412,0.9412,+0.0000,0.1111,0.1111,+0.0000
Resnet_34,1,UrbanSound,Yes,0.99720400,0.97930469,-0.01789931,nan,nan,+nan,0.9729,0.9729,+0.0000
Resnet_34,1,Wonjun_Yi,Yes,0.99720400,0.99720400,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,20,CalibrationDataset,No,0.00015900,0.42797024,+0.42781124,0.2229,0.0314,-0.1915,0.3794,0.3794,+0.0000
Resnet_34,20,DronePrint,Yes,0.00015900,0.10242225,+0.10226325,nan,nan,+nan,0.9231,0.9231,+0.0000
Resnet_34,20,Emo,Yes,0.00015900,0.09544689,+0.09528789,nan,nan,+nan,0.0000,0.0000,+0.0000
Resnet_34,20,ESC-50,Yes,0.00015900,0.69190611,+0.69174711,nan,nan,+nan,0.0019,0.0019,+0.0000
Resnet_34,20,Fusion,No,0.00015900,0.44168393,+0.44152493,0.0176,0.0004,-0.0173,0.8893,0.8893,+0.0000
Resnet_34,20,H-2,Yes,0.00015900,0.02102425,+0.02086525,nan,nan,+nan,0.9996,0.9996,+0.0000
Resnet_34,20,S&E,No,0.00015900,0.23854717,+0.23838817,0.5333,0.5714,+0.0381,0.2172,0.2172,+0.0000
Resnet_34,20,Authors,No,0.00015900,0.10611595,+0.10595695,0.8372,0.5294,-0.3078,0.6172,0.6172,+0.0000
Resnet_34,20,UrbanSound,Yes,0.00015900,0.97485723,+0.97469823,nan,nan,+nan,0.0221,0.0221,+0.0000
Resnet_34,20,Wonjun_Yi,Yes,0.00015900,0.00015900,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,50,CalibrationDataset,No,0.00004500,0.76925025,+0.76920525,0.2615,0.0285,-0.2329,0.3800,0.3800,+0.0000
Resnet_34,50,DronePrint,Yes,0.00004500,0.20995797,+0.20991297,nan,nan,+nan,0.8868,0.8868,+0.0000
Resnet_34,50,Emo,Yes,0.00004500,0.00004500,+0.00000000,nan,nan,+nan,0.0000,0.0000,+0.0000
Resnet_34,50,ESC-50,Yes,0.00004500,0.82356771,+0.82352271,nan,nan,+nan,0.0008,0.0008,+0.0000
Resnet_34,50,Fusion,No,0.00004500,0.62591548,+0.62587048,0.0011,0.0003,-0.0008,0.8884,0.8884,+0.0000
Resnet_34,50,H-2,Yes,0.00004500,0.00004500,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,50,S&E,No,0.00004500,0.21642950,+0.21638450,0.4737,0.4800,+0.0063,0.2432,0.2432,+0.0000
Resnet_34,50,Authors,No,0.00004500,0.18472602,+0.18468102,0.8696,0.5000,-0.3696,0.6231,0.6231,+0.0000
